ds,yhat,yhat_lower,yhat_upper
2025-01-01,6.761780943029284,3.925648787756423,9.784235477301317
2025-01-02,5.981961189506987,2.9421232795243784,8.97916672485276
2025-01-03,7.526202142506543,4.7903013903873894,10.578862458071402
2025-01-04,7.937141591198173,4.9405181100495135,10.995717878090115
2025-01-05,5.644531815557224,2.7328244953540413,8.189422586434958
2025-01-06,6.144019583349122,3.2060702215379417,9.259280743386539
2025-01-07,5.729899325810383,2.600413642331072,8.465274316085374
2025-01-08,6.843776537240625,4.129138895963574,9.831808642517732
2025-01-09,6.0280833973753705,3.0111909385187685,8.803155839979128
2025-01-10,7.538650658729563,4.7849999820224625,10.43542929063132
2025-01-11,7.9188410864138365,5.133695993004161,10.953570757110862
2025-01-12,5.599009067523363,2.770005383745695,8.603213042761588
2025-01-13,6.075269896995765,3.084494893339931,8.91717251367302
2025-01-14,5.642210559370199,2.8219041405873133,8.265365180396763
2025-01-15,6.741657095907547,3.869520127927044,9.389457988347518
2025-01-16,5.916084428567923,2.986627518795389,8.76126828695179
2025-01-17,7.421228548581672,4.6535130406663665,10.31240771591595
2025-01-18,7.8002280655346405,4.898601843413877,10.83149220405315
2025-01-19,5.483094991137613,2.7125690203793957,8.399263985435304
2025-01-20,5.965497851435989,2.9316504088166218,8.79248173462404
2025-01-21,5.541524085237572,2.693528714399612,8.660166383941657
2025-01-22,6.652358292496216,3.725374213666429,9.351431120769005
2025-01-23,5.839817723121785,3.13268326152252,8.551308225010269
2025-01-24,7.358948334947904,4.472858865888837,10.233456537711374
2025-01-25,7.752185912338081,4.8342142318238945,10.73883614901089
2025-01-26,5.448846010964068,2.1617433217985336,8.23011054485
2025-01-27,5.943925346638731,2.8255687204914737,9.013070464102908
2025-01-28,5.530881161695237,2.5294850622975655,8.598397647032868
2025-01-29,6.6503247572293525,3.765812024700378,9.674416137920229
2025-01-30,5.8435702698833385,2.9666839198048094,8.662217668322096
2025-01-31,7.365241776525249,4.485884095488544,10.366692985872453
2025-02-01,7.757443043815738,4.892590592826853,10.558536654641966
2025-02-02,5.449253582452883,2.463858104685497,8.556536633112822
2025-02-03,5.935533594275349,3.0042041583279753,8.736657327801925
2025-02-04,5.509704376244149,2.6967488760618377,8.679058774369212
2025-02-05,6.6124404683843405,3.8855474193847304,9.389135596525765
2025-02-06,5.785214778097417,2.815682708314603,8.615003915456837
2025-02-07,7.2828999642449475,4.289980761381217,10.364667975205395
2025-02-08,7.647930647003342,4.756155814652079,10.476999843855124
2025-02-09,5.309790372753095,2.7012187707460424,8.039481417509478
2025-02-10,5.763806221833885,2.83314830682084,8.382528908961257
2025-02-11,5.3039179322347065,2.249847885351787,8.265295043963162
2025-02-12,6.371358138754506,3.4397771763756237,9.091728851409771
2025-02-13,5.5081852661940784,2.4992004113117434,8.42165473658611
2025-02-14,6.969872655850632,3.927664160035435,9.684512276796292
2025-02-15,7.299458757575828,4.3664895882304045,10.035288064914699
2025-02-16,4.927022567711923,1.8550979599263506,7.857195971634886
2025-02-17,5.348467411813611,2.5665529356383696,8.286070131003251
2025-02-18,4.858280122722712,1.878949659319473,7.7375062834883455
2025-02-19,5.898202359727799,2.8641851682860433,8.978659517566777
2025-02-20,5.010755707795161,1.99232089810209,7.731948273047917
2025-02-21,6.451824206139321,3.6171611190381223,9.333362064765202
2025-02-22,6.764799171080977,4.110005656072118,9.805100919743737
2025-02-23,4.380050494066016,1.506394048605691,7.274141060292407
2025-02-24,4.793707486443672,1.8172926342045335,7.701296704597888
2025-02-25,4.300416271767978,1.5901334582479483,7.282866804049035
2025-02-26,5.342010396599959,2.5613260871449195,8.282003470635258
2025-02-27,4.461036218252183,1.5870568122585555,7.54769570238746
2025-02-28,5.913336622547683,2.8485552910835117,8.956655436935215
2025-03-01,6.2421978385486625,3.0606507488456005,8.912673880046007
2025-03-02,3.8778234324670553,1.0242999670543043,6.710986417596598
2025-03-03,4.316118458865107,1.3452704976055714,7.014986472021124
2025-03-04,3.851450681769409,0.959462726100711,6.852497799144957
2025-03-05,4.925325459390791,2.1865778990155835,7.944022542060224
2025-03-06,4.079915784309556,1.2522154662494558,7.008230213949726
2025-03-07,5.570650977331411,2.65712616292943,8.461587599728608
2025-03-08,5.940368758703098,3.1085688786416465,9.111024067787413
2025-03-09,3.6187947467998764,0.7547055496668237,6.525784575160189
2025-03-10,4.101332337335653,1.3450098073582453,7.1174418347644846
2025-03-11,3.6818298597023325,1.1179647889401376,6.82220615542973
2025-03-12,4.801261589710318,1.78112859443006,7.508167683565929
2025-03-13,4.001264097642216,1.0188859333731373,6.67159924636333
2025-03-15,5.949973713722309,3.0165499129433697,8.96429886117361
2025-03-16,3.670203541115018,0.6112730133086599,6.560912472574697
2025-03-17,4.192332481264841,1.2171377021677368,6.995365184296957
2025-03-18,3.809745123158603,1.0968495993509624,6.668948253479355
2025-03-19,4.962986820211828,2.0651690268467617,7.901489649663533
2025-03-20,4.193306641259713,1.3631502609554043,7.091756234878185
2025-03-21,5.755258892603653,2.771816023437842,8.619965335280549
2025-03-22,6.190867797142305,3.3813604293247375,9.104372333395018
2025-03-23,3.9291192224111944,0.9760291731333836,6.936718793818973
2025-03-24,4.464762231767885,1.428988973026837,7.477325836881827
2025-03-25,4.09108715758605,1.3111471230063019,7.0773047377498655
2025-03-26,5.248616564212809,2.2886389939172926,8.062134415444305
2025-03-27,4.478650353004513,1.500505420322511,7.575458339241064
2025-03-28,6.035868264838924,3.0967697484189833,8.85995770139471
2025-03-29,6.46249425274889,3.626150240258148,9.385032442713614
2025-03-30,4.187786525228907,1.272258399148974,7.250729679595366
2025-03-31,4.706835969314737,1.8704693393528098,7.447512579926037
2025-04-01,4.313339618058091,1.4093623074445332,7.46116587192552
2025-04-02,5.448285529528066,2.6865111512996442,8.544757119107782
